mysqlId,type,title,contentHtml,senderEmail,senderName,senderStudentId,recipientUserId,status,resolvedAt,resolvedBy,deliveryStatus,recipientCount,createdAt,updatedAt,meta
import-csv-001,SYSTEM,[PTIT] Thông báo bảo trì hệ thống,"<div style='font-family:Segoe UI,sans-serif;line-height:1.55'><p><b>Kính gửi toàn thể độc giả,</b></p><p>Hệ thống mượn trả trực tuyến sẽ <b>tạm ngưng</b> từ 22:00 đến 02:00 để nâng cấp máy chủ. Trong thời gian này bạn vẫn có thể đến <b>quầy thư viện</b> để mượn và trả sách.</p><p style='color:#64748b;font-size:12px'>Ban quản trị Thư viện PTIT</p></div>",no-reply@library.ptit.edu.vn,Ban quản trị,,,RESOLVED,2026-01-05T08:00:00.000Z,,success,1842,2026-01-05T08:00:00.000Z,2026-01-05T08:00:00.000Z,"{""source"":""csv_demo""}"
import-csv-002,SYSTEM,[PTIT] Nhắc lịch nghỉ Tết Nguyên Đán,"<div style='font-family:Segoe UI,sans-serif'><p>Thư viện xin thông báo lịch phục vụ dịp Tết: đóng cửa từ 28/01 đến mùng 3 Âm lịch. Mượn có hạn trùng ngày nghỉ được <b>gia hạn tự động</b> theo số ngày nghỉ.</p><ul style='margin:8px 0;padding-left:18px'><li>Mượn trước Tết: nhớ kiểm tra hạn trả</li><li>Trả sách muộn trong ngày làm việc đầu: không tính phạt quá hạn do nghỉ lễ</li></ul></div>",no-reply@library.ptit.edu.vn,Ban quản trị,,,RESOLVED,2026-01-06T09:00:00.000Z,,success,2100,2026-01-06T09:00:00.000Z,2026-01-06T09:00:00.000Z,"{""source"":""csv_demo""}"
import-csv-003,SYSTEM,[PTIT] Triển khai thẻ độc giả điện tử,"<p>Từ tuần tới, sinh viên có thể xuất trình <b>mã QR thẻ</b> trên ứng dụng thư viện tại cổng tự phục vụ. Vui lòng cập nhật ảnh đại diện rõ nét để nhận diện.</p><p>Chi tiết xem tại quầy hướng dẫn tầng 1.</p>",no-reply@library.ptit.edu.vn,Phòng Hành chính,,,RESOLVED,2026-01-07T10:30:00.000Z,,success,1,2026-01-07T10:30:00.000Z,2026-01-07T10:30:00.000Z,"{""source"":""csv_demo""}"
import-csv-004,SYSTEM,[PTIT] Khảo sát ý kiến độc giả,"<p>Mời bạn dành 2 phút điền biểu mẫu khảo sát về chất lượng phục vụ. Phần quà: voucher in ấn miễn phí 20 trang cho 100 bạn trả lời sớm nhất.</p>",survey@library.ptit.edu.vn,Tổ khảo sát,,,RESOLVED,2026-01-08T14:00:00.000Z,,success,356,2026-01-08T14:00:00.000Z,2026-01-08T14:00:00.000Z,"{""source"":""csv_demo""}"
import-csv-005,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<div style='font-family:Segoe UI,sans-serif'><p>Xin chào <b>Nguyễn Văn A</b>,</p><p>Phiếu mượn của bạn đã được thủ thư xác nhận. Mã phiếu: <code style='background:#f1f5f9;padding:2px 6px;border-radius:4px'>PM-2026-01042</code></p><p>Hạn trả: <b>15/02/2026</b>. Số lượng: 2 cuốn.</p><p>Chúc bạn học tập hiệu quả.</p></div>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-09T11:20:00.000Z,,success,1,2026-01-09T11:20:00.000Z,2026-01-09T11:20:00.000Z,"{""source"":""csv_demo""}"
import-csv-006,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<p>Kính gửi <b>Trần Thị B</b>, yêu cầu mượn <i>Giáo trình Mạng máy tính</i> đã được duyệt. Vui lòng đến quầy số 2 lấy sách trong 48 giờ.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-09T15:45:00.000Z,,success,1,2026-01-09T15:45:00.000Z,2026-01-09T15:45:00.000Z,"{""source"":""csv_demo""}"
import-csv-007,BORROW_CONFIRM,Xác nhận gia hạn mượn,"<p>Gia hạn thành công thêm <b>7 ngày</b>. Hạn trả mới: 22/02/2026. Mỗi đầu sách được gia hạn tối đa 2 lần mỗi phiếu theo quy định hiện hành.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-10T08:10:00.000Z,,success,1,2026-01-10T08:10:00.000Z,2026-01-10T08:10:00.000Z,"{""source"":""csv_demo""}"
import-csv-008,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<p>Độc giả <b>Lê Văn C</b> thân mến, bạn đã mượn thành công 3 tài liệu tham khảo khoa CNTT. Nhớ giữ phiếu và kiểm tra tình trạng sách khi nhận.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-10T16:00:00.000Z,,success,1,2026-01-10T16:00:00.000Z,2026-01-10T16:00:00.000Z,"{""source"":""csv_demo""}"
import-csv-009,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<p>Phiếu mượn tại quầy đã được ghi nhận. Danh mục: Lập trình Web; Cơ sở dữ liệu. Trả đúng hạn để duy điểm tín nhiệm mượn cao hơn.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-11T09:00:00.000Z,,success,1,2026-01-11T09:00:00.000Z,2026-01-11T09:00:00.000Z,"{""source"":""csv_demo""}"
import-csv-010,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<p>Chúc mừng bạn đã đặt chỗ mượn thành công qua app. Mã lấy sách: <b>QR-88421</b>. Quầy tự phục vụ mở đến 19:00 các ngày trong tuần.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-11T13:30:00.000Z,,success,1,2026-01-11T13:30:00.000Z,2026-01-11T13:30:00.000Z,"{""source"":""csv_demo""}"
import-csv-011,BORROW_CONFIRM,Gửi xác nhận thất bại,"<p>Hệ thống không gửi được email xác nhận tới hộp thư độc giả do lỗi SMTP.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-12T10:00:00.000Z,,failed,1,2026-01-12T10:00:00.000Z,2026-01-12T10:00:00.000Z,"{""source"":""csv_demo"",""errorMessage"":""SMTP Error: Invalid recipient address""}"
import-csv-012,BORROW_CONFIRM,Gửi xác nhận thất bại,"<p>Thông báo gửi thất bại sau 3 lần thử kết nối.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-12T14:22:00.000Z,,failed,1,2026-01-12T14:22:00.000Z,2026-01-12T14:22:00.000Z,"{""source"":""csv_demo"",""errorMessage"":""Connection Timeout to Gmail Server""}"
import-csv-013,BORROW_CONFIRM,Gửi xác nhận thất bại,"<p>Hộp thư đích báo đầy — không thể phân phối thông báo xác nhận.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-13T08:05:00.000Z,,failed,1,2026-01-13T08:05:00.000Z,2026-01-13T08:05:00.000Z,"{""source"":""csv_demo"",""errorMessage"":""Mailbox is full""}"
import-csv-014,SYSTEM,[PTIT] Cảnh báo bảo mật tài khoản,"<p>Phát hiện đăng nhập lạ từ IP nước ngoài. Nếu không phải bạn vui lòng đổi mật khẩu và liên hệ quầy kỹ thuật.</p>",security@library.ptit.edu.vn,Bảo mật,,,RESOLVED,2026-01-13T11:40:00.000Z,,failed,1,2026-01-13T11:40:00.000Z,2026-01-13T11:40:00.000Z,"{""source"":""csv_demo"",""errorMessage"":""DNS lookup failure for relay host""}"
import-csv-015,BORROW_CONFIRM,Xác nhận mượn sách thành công,"<p>Kính gửi độc giả, sách lưu kho đã được chuẩn bị. Vui lòng mang thẻ sinh viên khi nhận.</p>",no-reply@library.ptit.edu.vn,Hệ thống mượn trả,,,RESOLVED,2026-01-14T09:15:00.000Z,,success,1,2026-01-14T09:15:00.000Z,2026-01-14T09:15:00.000Z,"{""source"":""csv_demo""}"
